TropeID,Trope,Description
t00079,AbusiveParents,"Parents are supposed to be the protectors of children, but these parents are either so damaged themselves that they can't do the job, greedy or villainous to the point that they never had any interest in doing the job properly, or would rather use the child as a means to an end. Sometimes they're just sadistic assholes.
This includes parents who are emotionally, verbally, physically, or mentally abusive, or who neglectfully allow their children to be abused by others if they don't abuse the child themselves; sexual abuse is typically treated as a special kind of evil. Sometimes, the abuse at the hands of their parents becomes a Freudian Excuse for a villain. Other times, the character manages to not grow up broken, bitter, and hateful, and instead a different and better person than the upbringing would incline one to think. Troubling Unchildlike Behavior is often a tell-tale sign that things are not right at home.
Abusive Parents are commonplace in fairy tales and Classical Mythology which makes this trope Older Than Feudalism. Note that The Brothers Grimm, when they collected European fairy tales, were uncomfortable with the idea of Abusive Parents and so frequently changed the Abusive Parents in the traditional stories into abusive step parents.
Sometimes, a parent will go as far as to kill the child in question, in which case this is Offing the Offspring. In other ways cases, the parent's abuse occasionally drives the offspring to snap, commit Revenge and finally kill them, thus becoming a Self-Made Orphan. Although other times, the parents end up as a
Karma Houdini. Calling the Old Man Out occurs when a fed-up child retaliates with a ""The Reason You Suck"" Speech. If the child gets out of the broken family and forms healthy friendships, but reacts badly when their abusive parents show up again, well, Friends Are Chosen, Family Aren't.
Bear in mind that not everyone agrees on the line between actual abuse and merely heavy-handed parenting (or even normal parenting). Is Moving the Goalposts merely inspiring the child to achieve more, or the most insidious form of abuse to instill mistrust and paranoia to the children? Some include spanking as abuse; others think it's appropriate given certain guidelines. Some believe it's okay to make a kid go without a meal (they won't starve that easily); others disagree. Making a kid miss a friend's birthday sleepover — is that emotional abuse? Raising a kid without exposure to TV? Telling your daughter she's getting fat? A little friendly name-calling? There's a line here somewhere, but not everyone agrees on where it is.
If a parent has just dumped the child, for whatever reason, that's Parental Abandonment; if they aren't paying attention, that's Parental Neglect. If the parents refuse to discipline their kids, they are Pushover Parents. Contrast Mama Bear or Papa Wolf (where others abuse the children and the parents abuse the abusers), and the more extreme variant of Knight Templar Parent, where the abusive parent is violently overprotective. Abusive Precursors can be considered this on a metaphorical level. See Hilariously Abusive Childhood for when this is cranked up to absurd levels and played for laughs. Black Comedy is often connected in the comedic aspect of it, and a Big, Screwed-Up Family may be involved if it is adult comedy. In keeping with the above note, some may call the show on it and say Dude, Not Funny!. See Evil Matriarch and Archnemesis Dad for characters who are beyond abusive and outright evil. For parents who are mostly abused by their children, see Pushover Parents. Abusive-type parents are mostly wanted criminals being chased by the law.
While they do not have to be the child's actual, technical parents to be part of this trope, it's pretty important that they are closely related and live together, like a Wicked Stepmother or an Evil Uncle taking care of the Parentally Deprived. After all, it's much more disgusting that somebody related to the child could bring themselves to hurt them, rather than a mere foster family.
The polar opposite, of course, are Good Parents.
NOTE: Please do not use this trope for complaining about parents you don't like.
Unfortunately, Abusive Parents are Truth in Television and a very sensitive topic for many, so please no Real Life examples - it is sufficient to say they do exist and they are all too common."
t00190,ActionGirl,"An Action Girl is a female badass who is tough and kicks butt. Damsel in Distress? Not her. She's featured in far more than the Designated Girl Fight. She faces dangerous foes and deadly obstacles, and she wins.
For the longest time in many cultures, Double Standards in both fiction and real life meant that when it came to action and fighting, guys definitely outnumbered girls. Men Act, Women Are was the rule of thumb, which led to the Action Girl being a subversion of what was acceptable. As society has marched on, this view has faded in some media, leading to stories where Action Girls become the norm rather than the exception, such as stories set in a World of Badass, and especially a World of Action Girls.
The broad Action Girl concept can take many forms. Faux Action Girl is a case of presenting a character as this, only for them not to live up to the standards of this trope. Dark Action Girl is the villainous variety, and Affirmative Action Girl is a cast addition intended to balance out gender ratios that typically also falls under this trope. Less action-y versions include You Go, Girl! and Plucky Girl.
This is somewhat of a Cyclic Trope, with Action Girls often having surges in popularity in the 1940s, 1970s, 1990s and 2010s, probably not coincidentally times when the women's movement increased in prominence.
See below for even more subtropes and other variants.
Not to be confused with Action Girl, a comic series about an Action Girl. For advice on how to write these types of characters, see Write An Action Girl.

Genres and worlds populated by Action Girls:"
t00263,AdaptationDistillation,"Some adaptations take a complex character or situation and greatly simplify it, removing elements the producer believed to be unnecessary. This effect is more common when adapting from a long-running series, especially if it hasn't had a singular vision over the years.
Compare Compressed Adaptation, which deals more along the lines of a direct adaptation and is about all the stuff that is cut out along the way to make this trope happen.
Contrast with Pragmatic Adaptation: in a distillation, a complex story is simplified, without much substantive change. In a Pragmatic Adaptation, the story is changed with the shift in medium. Also, contrast Adaptation Expansion, which tacks on more content but retains the original source material. When a story element is removed but its effects aren't, that's Adaptation Explanation Extrication.
This isn't about adaptations that are better than the original. This is about elements that are simplified or removed in order to make an adaptation shorter."
t00265,AdaptationExpansion,"This is the complete opposite of Compressed Adaptation. It occurs when a short, very simple tale is given a much bigger adaptation, typically as a feature-length film. To be brought up to feature length, the storyline will have to be padded with some new stuff — a lot of new stuff. Cue Alternative Character Interpretations that require elaborate backstories, minor characters given much larger parts, completely new characters, and sometimes Plot Holes, Plot Tumors, and a triple dozen subplots that were not in the original work.
This has a tendency to make the story unrecognizable as a retelling of the original. In some instances, the original story will end up as one small part of a much larger, more convoluted story. This will usually be the climax, in which case the film essentially gave you an hour or more of Back Story. This most often happens with movies based on novellas, short stories, video games or children's books. In the children's books instance, this can lead to the introduction of Darker and Edgier into a normally benign story or the reintroduction of elements lost to Disneyfication of classic stories.
While this trope is often associated with the fan complaint ""They Changed It, Now It Sucks!!"", it can be done well. Remember that Tropes Are Tools and extensions for adaptations might need to happen to fill the required runtime, just going about it right is the problem most productions face.
Compare Expanded Universe. See also Adaptation Distillation, Compressed Adaptation, Humble Beginnings, Patchwork Story, Not His Sled, Updated Re Release. An adaptation In Name Only goes even further than this, throwing out the original plot and making things up out of whole cloth."
t00270,AdaptationNameChange,"Alice Andrews in the books becomes Alice Allen in The Movie then Annie Adams in The Series.
This is when a character or group has a name change between adaptations.
The Name Change of The Character can be their first name, last name or both that also includes super alter egos.
The key to this trope is that between adaptations, the character must clearly be the same. If they are a Suspiciously Similar Substitute or a Composite Character, then this trope does not apply.
This can sometimes be an Enforced Trope. Production studios retain a team of lawyers whose job it is to ensure that every name in every work is shared either by many people or by no people in the area that the work is being produced, a process known as ""clearance"". This is to avoid a lawsuit: if there's exactly one person named Darkness von Gothick, you're just begging for him to sue you for portraying him as a villain. But names that are common in one place and time might be more rare in another, resulting in a name being cleared for use when The Movie was filmed in Hollywood fifty years ago but not when The Series is filmed in Vancouver today.
This is also very common in foreign adaptations, where names are changed to either reflect the local culture, or to give the show its own identity. It may also accompany a Race Lift, Adaptational Nationality change, or Gender Flip, with a character's name reflecting his or her new ethnicity or gender (usually).
This trope only applies when the adaptation is in the same language as the original. When a character's name changes in a translation, that's Dub Name Change. If a character didn't originally have any name then they're Named by the Adaptation. If it's Based on a True Story, see Roman à Clef."
t00328,AdultFear,"Adult Fears are about the things mature, well-adjusted adults generally are concerned about, as opposed to supernatural, petty, or far-fetched fears: the safety of their children, the safety of their neighborhood, the fidelity of their spouse, the loyalty of their friends and coworkers, the health of themselves and their family, being able to pay their bills, etc. To an adult (especially paranoid fathers), children being preyed upon by pedophiles or sociopaths can be scarier than children being preyed upon by a Xenomorph. To be scared about a fictional monster requires artistic application of the Rule of Scary and a Willing Suspension of Disbelief from the audience, but to be scared about the Death of a Child simply requires enough absence of childhood innocence to be aware of the reality that this (God forbid) can actually happen.
The audience reaction is still to be scared, but this trope plays down the shock factor of more fantastical horror and plays up the relative realism of more mundane threats.
Outliving your children in general might be the worst fear of this kind. Often overlaps with Primal Fear. It is also the reason why tropes such as Mama Bear, Papa Wolf and Overprotective Dad exist.
Can have political purposes as well as entertaining ones; expect to see them evoked all over the place in a Propaganda Piece. Defanged Horrors are the result of trying to target the youngest age group."
t00330,AdultsAreUseless,"In some shows that revolve around teenagers, preteens, or younger children, adults can't do anything right — if they appear on-screen at all. Teachers tend to be annoying sticks-in-the-mud who do nothing but spoil people's fun. Parents are clueless, no longer care, or are either over- or underprotective. And any other designated authority figures the kid might come across? Forget it.
Usually, this is just plot necessity (especially on comedy shows). After all, a High School Hustler could hardly get anything done if the teachers kept their eyes open, and if the parents were vigilant; being told that You Are Grounded would wreck the plot.
But on a handful of drama shows, there's a real venom to it. Radio Free Roscoe is about a group of heroic teens who defy a tyrannical school administration. On a smaller scale, Degrassi: The Next Generation has episodes where it is implied that stealing school property is no big deal, but it's disgraceful to inform on the thief.
This can also occur in shows where you Can't Get Away with Nuthin' — kids who break school rules somehow always get caught, but due to bad luck, not because a teacher was alert.
This is also common when adults are told something is happening, but simply don't believe it, resulting in a Cassandra Truth. The logical extreme of this trope is There Are No Adults.
This trope often gives the impression that only teens or younger kids are capable of saving the world and stuff. The problem with this is that it implies that there's no point in telling adults about your problems because they'd either disbelieve you or be too useless to help.
However, this trope can occasionally be used in a more mature fashion to demonstrate a moral about growing up and realizing that adults are not all-powerful. This is especially common in military or war-themed shows and literature, where the point is that adults are ultimately unable to protect the younger generation. This version is, unfortunately, often Truth in Television. Another interpretation of this is merely that the adults who can help won't because the dilemma's solution (at least the obvious and often more exciting one) would pretty much wind up breaking several laws and safety codes. This can be especially true in a lot of shows involving the police or military; the ones who strictly adhere to code are always shown incompetent whereas the ones who break code are the competent ones. It may be a good way to teach that you can't solve all your problems by just asking the grown-ups to help.
Another seldom-used aspect of this trope sort of plays off the above. In this version, it's not that Adults are useless; quite the opposite. The problem is that the protagonists — because of youthful embarrassment, a need to prove themselves or simple ego — can't ask for help, or accept it when it's given. The message here is that asking for help is a good thing (one can't do everything alone) and not bothering to trust people with more skill/experience ultimately causes more trouble than it's worth. This version is also Truth in Television, but you'll not find many young people who are willing to admit that.
Another more mature variant of the trope (and one that is also unfortunately Truth in Television) is that the adults are abusive and other adults around cover for the abuse or justify it and/or the abusers. While in many settings there's someone the child could eventually find for help, in some (small towns in The ’50s, before the internet, fundamentalist religious societies) there isn't or the children don't know/can't find the actually supportive adults and/or can't identify their treatment as abuse.
Sometimes it may even be a simple case of Poor Communication Kills - sometimes the adults seem worthless because they aren't seeing it from the characters' point of view. Or a combination of the above where the kids simply don't tell the adults so they don't know.
Parental Obliviousness and Police are Useless are subtropes. An Obstructive Bureaucrat may show up, but it's not something the younger age group encounters often.
See also: Teenage Wasteland, Competence Zone, Parent ex Machina, Best Years of Your Life, Lazy Husband, Babysitter from Hell. For an inversion, see Teens Are Monsters.
Not to be confused with Humans Are Morons, which deals with everybody being like this."
t00360,AerithAndBob,"In some fantasy settings, people have names that you would expect to see in real life. In others, names are made up to sound exotic.
And then you have the mixed approach: people named Zelor and Lithnara alongside people named James and Catherine. That's Aerith and Bob.
Don't expect the characters to acknowledge the distinction. Note that this doesn't count if the author is making a distinction e.g. as a Translation Convention for different cultures (cf. The Lord of the Rings, where the hobbits' and the nearby Men's Westron-language names are ""translated"" as more real-world ones, but no others are), or in a cosmopolitan setting where characters might be reasonably expected to have diverse cultural backgrounds without this necessarily being explicitly stated.
In stories set in The Future, new names can be assumed to have been invented or become popular over the years, while older names would still exist alongside them. Can also happen within an Overly Long Name, where a Muggle-type name is liable to appear amid a long series of archaic names. Most often, the ""normal"" name is ""Terry"", ""Scott"", ""Dave"", ""Steve"", ""Lyle"", or ""Kevin"", because those names are somehow inherently funny. Sometimes happens accidentally in a cast full of Aeriths if an author finds a name from another language that sounds exotic to them, since it will inevitably sound like a Bob to viewers from the culture it comes from.
The Trope Namer is a combination of Final Fantasy VII, which has the eponymous ""Aerith"" alongside names like ""Vincent"" and ""Barret"", and a play on Alice and Bob.
Not to be confused (or transliterated) with Alice and Bob. When it's played for laughs, it's an Odd Name Out. See also Special Person, Normal Name. Compare Melting-Pot Nomenclature, Sesquipedalian Smith and My Friends... and Zoidberg. One of the names may be a Real Joke Name — for extra laughs, it might be ""Bob"".
Truth in Television obviously, so Real Life examples have their own page. Proceed at your own risk."
t00369,AffablyEvil,"Usually, villains have a personality or manner that underscores how evil they are. They may kick puppies for giggles, be particularly insensitive and/or fanatically obsessed with their cause, or might just be too unknowable and/or eldritch to be anything but evil.
Then there are villains who are Affably Evil. There is absolutely nothing separating them from being normal, polite people except for the fact that they want to Take Over the World or use human souls to power their Artifact of Doom. They're not the Stepford Smiler or the Bitch in Sheep's Clothing— their affability is a genuine part of their personality, not a mask. And this is what ultimately differentiates them those tropes and Faux Affably Evil. If they have underlings, expect them to be a Benevolent Boss. In one way, they're the opposite of an Anti-Hero. They may Pet the Dog on occasion, but won't hesitate to kick it with steel-toed boots the next second if it helps them accomplish their Evil Plan. They may well be a Villain with Good Publicity because, after all, being evil doesn't mean you have to be anti-social.
If this trope gets exaggerated, this villain will invite the hero out to tea, offer them a favorite dish, talk friendly, try to appeal to the hero's better nature, and convince the heroes that the villain's plan isn't worth getting involved in or is even worth joining. Of course, if the hero still won't change their mind, the villain will remind them that they are, after all, still a villain. It may or may not involve a Death Trap, depending on how nice the villain really is when crossed. Of course, inviting the hero's mom out to tea might send a stronger message. The friendliness of said villains can serve to humanize these guys. In situations with Evil vs. Evil, they are often A Lighter Shade of Black in this conflict.
Usually a Wicked Cultured, charismatic Magnificent Bastard. They are sometimes comedic or a Well-Intentioned Extremist who really believes that they are right. More often than not, they are a form of Anti-Villain because a straight villain wouldn't easily be so genuinely good-natured. Evil Has a Bad Sense of Humor is not true for them, and their affability even makes them easy to ""compliment"" with an Insult Backfire. Captives of an affably evil villain won't be kept in dungeons, but in a Gilded Cage. Even an outright psychopath can come off as this if charismatic and funny enough. In fact legitimately insane characters can at times balance this with Faux Affably Evil more easily than sane ones, since the contrast is explained by their mental instability.
In the event an Affably Evil villain does undergo a Villainous Breakdown, the very traits that make them so pleasant often serve to make their breakdown extremely creepy or outright scary. A kind, friendly man suddenly going into a psychotic rage is made all the more scary by the simple fact that he was previously so nice and kind. If they keep their inviting personality while going Ax-Crazy, they may cross into Faux Affably Evil territory with only skin-deep manners, which is a much more frequent behaviour than a truly kind criminal.
Compare:
Contrast:
Good Is Not Nice is the Inverted Trope, and such good guys are particularly good at giving the Affably Evil a proverbial punch in the nose. When both Good Is Not Nice and Affably Evil are used, you may end up with Polite Villains, Rude Heroes. I'm Not Hungry is often dealing with this villain. A villain will sometimes engage in Too Funny to Be Evil to achieve this effect. No, Mr. Bond, I Expect You to Dine is a subtrope in many instances."
t00374,AffectionateNickname,"Quite simply, when a character gives another character a cute or endearing nickname because the two are either as close as True Companions, or the namer is interested romantically in the name. The nickname may not be well-received by the one being named, as they find it insulting or embarrassing, but in the mind of the name-giver it's sweet and/or thoughtful. The formal term for an affectionate nickname is a ""hypocorism"".
In short, it's a pet name. Expect The Nicknamer to dole these out a lot.
Sub-Trope of In-Series Nickname. Compare Insult of Endearment. Contrast Terms of Endangerment, where an enemy uses a superficially affectionate nickname in an irritating or disturbing manner."
